;Pecho;Colon;Riñón;Hígado;Pulmón;Páncreas;Piel;Estómago
ENPP2;86.8;31.6;25.5;6.3;33.8;11.6;15.3;16.7
ITGA2B;0.4;0.3;1;0.5;4.9;0.1;0.1;0.3
ITGA5;66.8;385.2;25.8;47.4;117.9;19.1;48.9;87.9
ITGA8;2.6;3.1;6.6;0.5;19.6;0.6;3.2;18.7
ITGAV;17.2;16.5;24.2;8.9;24.9;17.3;18.1;16.8
ITGB1;209.2;256.3;99.3;138.3;209.4;100.9;76.2;155.1
ITGB3;5.2;16.3;14.5;1.9;5.4;0.4;2.6;3.7
ITGB5;69;46.5;47.3;50.1;52.3;19;86.1;28.8
ITGB6;3.9;3.6;66.2;0.1;14.1;3.2;2.5;4.5
ITGB8;3.8;3.6;12.2;0.3;2.3;5.4;5.3;2.1
LPAR1;24.5;23.3;9.3;1.5;15.6;5.3;19.1;11.3
LPAR2;7.9;12.5;10.7;6.3;27.6;26.8;17.6;30.3
LPAR3;0.2;0.5;0;0.1;1.3;8.1;4.2;0
LPAR4;0.3;0.3;0;0;0;0;0.1;0.4
LPAR5;0.7;7.7;0.7;0.6;1.1;0.5;6.7;5
LPAR6;36.4;15.4;25.5;15.4;33.6;8.5;23.2;10.9
PLPP1;136.1;114.3;101.1;63;54.5;34.5;56.1;68.7
PLPP2;23.2;38.2;11.2;3.6;8.1;36.2;51.5;31.1
PLPP3;135.2;54.7;82.6;77.4;84.3;34.2;79.4;64
