;Melanoma;Hígado;Páncreas;Pulmón;Estómago;Colon;Pecho;Riñón
ENPP2;0.00193;0.0122;0.217;0.601;2.80E-85;5.29E-06;0.00349;0.249
LPAR1;0.263;1.13E-05;;0.918;5.56E-05;0.6;0.36;0.893
LPAR2;0.288;0.00101;0.568;0.319;0.105;0.0103;0.0238;0.0022
LPAR3;0.497;;0.0756;0.26;1.11E-16;0.264;0.819;0.0177
LPAR4;0.685;;0.963;0.0537;;0.0413;0.479;0.613
LPAR5;0.25;0.000427;0.0474;0.104;0.395;0.23;2.72E-05;3.45E-07
LPAR6;0.385;0.48;0.705;0.205;0.986;4.52E-07;0.213;0.023
ITGA2B;4.77E-17;0.0715;0.195;0.0011;0.484;0.0415;0.63;0.0111
ITGA5;0.00443;0.183;0.251;0.218;4.28E-05;1.36E-13;0.83;0.044
ITGA8;0.589;0.00661;0.0702;0.000316;2.59E-35;0.167;0.908;0.11
ITGAV;0.0605;0.166;0.00922;0.299;0.856;1.20E-05;0.933;0.118
ITGB1;0.0136;0.108;0.285;0.272;0.249;0.0182;0.821;0.0516
ITGB3;0.00936;0.843;0.018;0.0033;5.75E-39;0.000116;0.873;0.167
ITGB5;0.376;0.391;0.00155;0.168;0.00606;0.019;0.928;0.889
ITGB6;0.0307;0.00049;0.0126;0.155;0.984;0.0638;0.562;0.776
ITGB8;0.00197;0.0038;0.158;0.00182;0.00808;0.137;0.615;0.264
PLPP1;0.602;0.000385;0.00195;0.137;0.0123;0.00059;0.00197;0.0357
PLPP2;;0.0819;0.228;0.00319;1.55E-10;0.0061;0.0416;0.00223
PLPP3;0.19;0.355;0.00476;0.146;3.67E-24;8.99E-08;0.0452;0.899
