Gen;Amplificación;Delección;Múltiples alteraciones;Mutación
PLPP3;14.88487467;7.312091304;0;12.22319907
PLPP2;22.96931623;20.54049369;1.342210101;6.791899686
PLPP1;9.235052229;12.36216788;1.503759398;9.676370064
LPAR6;3.768400709;66.46008386;0.560507031;9.111339909
LPAR5;42.34187185;2.314915476;0.171232877;9.481082788
LPAR4;5.864630427;5.332790209;0.194552529;21.25072839
LPAR3;13.73166598;10.36355038;0.094966762;14.79498329
LPAR2;18.29650994;4.28120914;0.094966762;11.64450934
LPAR1;11.32120548;3.391869452;0;18.22591211
ITGB8;27.61908665;2.750307724;0.320191987;29.93211639
ITGB6;10.69552109;8.049216791;0.168350168;26.80971441
ITGB5;22.04033852;5.076702011;0.509508641;22.93250788
ITGB3;13.83772455;3.361349585;0.184501845;32.0241691
ITGB1;10.78048484;3.294151914;0.191204589;19.62941982
ITGAV;12.33208481;16.20370979;0.800632068;34.18662965
ITGA8;16.97407573;8.71663583;0.537576057;52.74727623
ITGA5;20.65696895;1.008314972;0.365785406;28.42361728
ITGA2B;12.15740409;8.735146956;0;27.27397379
ENPP2;111.3832313;3.695342705;1.683653659;33.38484496
