Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.0935;0.00349;0.817;-2.9208095;-1.526344512;1680;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA2B;3674;0.909;0.63;0.836;-0.482138;-0.290363184;78.1;integrin subunit alpha 2b
ITGA5;3678;0.963;0.83;0.514;-0.2141328;-0.05287248;3730;integrin subunit alpha 5
ITGA8;8516;0.98;0.908;0.742;0.1152691;0.054744896;254;integrin subunit alpha 8
ITGAV;3685;0.986;0.933;0.538;0.0836161;0.02517452;6570;integrin subunit alpha V
ITGB1;3688;0.96;0.821;0.648;-0.2259674;-0.105362784;20600;integrin subunit beta 1
ITGB3;3690;0.972;0.873;0.81;0.1600168;0.05183992;385;integrin subunit beta 3
ITGB5;3693;0.985;0.928;0.677;0.0900442;0.0341264;8090;integrin subunit beta 5
ITGB6;3694;0.881;0.562;1.22;0.5801893;0.22649472;3310;integrin subunit beta 6
ITGB8;3696;0.903;0.615;1.163;0.5027271;0.374165888;2020;integrin subunit beta 8
LPAR1;1902;0.779;0.36;0.656;-0.9154308;-0.432330984;759;lysophosphatidic acid receptor 1
LPAR2;9170;0.269;0.0238;0.583;2.2598916;0.737697576;1300;lysophosphatidic acid receptor 2
LPAR3;23566;0.96;0.819;1.516;0.2285887;0.110922976;248;lysophosphatidic acid receptor 3
LPAR4;2846;0.848;0.479;0.937;0.7072583;0.371185024;42.5;lysophosphatidic acid receptor 4
LPAR5;57121;0.00438;2.72E-05;0.717;4.1958792;1.924680576;309;lysophosphatidic acid receptor 5
LPAR6;10161;0.666;0.213;0.627;-1.2447771;-0.562000464;1720;lysophosphatidic acid receptor 6
PLPP1;8611;0.068;0.00197;0.492;-3.0953693;-0.852217856;1590;phospholipid phosphatase 1
PLPP2;8612;0.347;0.0416;0.66;2.0370965;0.645063936;3120;phospholipid phosphatase 2
PLPP3;8613;0.361;0.0452;0.632;-2.0025282;-0.556929384;3080;phospholipid phosphatase 3
