Symbol;GeneID;padj;pvalue;lfcSE;stat;log2FoldChange;baseMean;Description
ENPP2;5168;0.47126429;0.217;0.3511;-1.2349692;-0.4335968;1972.48;ectonucleotide pyrophosphatase/phosphodiesterase 2
ITGA5;3678;0.44469047;0.195;0.3777;1.2954668;0.48931;2045.36;integrin subunit alpha 5
ITGA8;8516;0.50847585;0.251;0.4216;1.1486701;0.4843292;278.6;integrin subunit alpha 8
ITGAV;3685;0.26697009;0.0702;0.3072;1.810736;0.5561958;9738.45;integrin subunit alpha V
ITGB1;3688;0.09588061;0.00922;0.2799;2.603902;0.728753;33828.18;integrin subunit beta 1
ITGB3;3690;0.54302582;0.285;0.568;1.0690106;0.6071479;386.94;integrin subunit beta 3
ITGB5;3693;0.13517358;0.018;0.3034;2.3665318;0.718085;6092.96;integrin subunit beta 5
ITGB6;3694;0.0401836;0.00155;0.6326;3.1651192;2.002117;5068.34;integrin subunit beta 6
ITGB8;3696;0.11273401;0.0126;0.3625;2.4951903;0.9043971;1598.11;integrin subunit beta 8
LPAR1;1902;0.39979658;0.158;0.3784;-1.4134914;-0.5348817;988.28;lysophosphatidic acid receptor 1
LPAR2;9170;0.77081132;0.568;0.3275;0.5714533;0.1871459;314.21;lysophosphatidic acid receptor 2
LPAR3;23566;0.27645505;0.0756;0.9341;-1.776742;-1.659611;246.26;lysophosphatidic acid receptor 3
LPAR4;2846;0.98520891;0.963;0.3893;0.0469025;0.0182588;43.07;lysophosphatidic acid receptor 4
LPAR5;57121;0.22034557;0.0474;0.3885;1.9829603;0.7703643;304.38;lysophosphatidic acid receptor 5
LPAR6;10161;0.85744848;0.705;0.2709;-0.3784723;-0.1025446;1848.42;lysophosphatidic acid receptor 6
PLPP1;8611;0.04549619;0.00195;0.2171;-3.0973919;-0.672535;1743.09;phospholipid phosphatase 1
PLPP2;8612;0.48454962;0.228;0.3493;1.2044963;0.420685;1036.16;phospholipid phosphatase 2
PLPP3;8613;0.07099093;0.00476;0.2391;-2.8230309;-0.675049;2736.28;phospholipid phosphatase 3
